"journal","data","values"
"Cellular Microbiology","Journal Citation Indicator","0.720"
"Cellular Microbiology","Impact Factor","2.3"
"Complexity","APC","$2630"
"Complexity","Acceptance rate","6%"
"Complexity","Submission to final decision","95 days"
"Complexity","Acceptance to publication","26 days"
"Complexity","CiteScore","2.300"
"Complexity","Journal Citation Indicator","0.490"
"Complexity","Impact Factor","0.9"
"Computational and Mathematical Methods","APC","$800"
"Computational and Mathematical Methods","Acceptance rate","19%"
"Computational and Mathematical Methods","Submission to final decision","49 days"
"Computational and Mathematical Methods","Acceptance to publication","22 days"
"Computational and Mathematical Methods","CiteScore","2.300"
"Computational and Mathematical Methods","Journal Citation Indicator","-"
"Computational and Mathematical Methods","Impact Factor","-"
"Computational and Mathematical Methods in Medicine","APC","$2550"
"Computational and Mathematical Methods in Medicine","Acceptance rate","22%"
"Computational and Mathematical Methods in Medicine","Submission to final decision","60 days"
"Computational and Mathematical Methods in Medicine","Acceptance to publication","28 days"
"Computational and Mathematical Methods in Medicine","CiteScore","-"
"Computational and Mathematical Methods in Medicine","Journal Citation Indicator","-"
"Computational and Mathematical Methods in Medicine","Impact Factor","-"
"Computational Intelligence and Neuroscience","APC","$2550"
"Computational Intelligence and Neuroscience","Acceptance rate","-"
"Computational Intelligence and Neuroscience","Submission to final decision","-"
"Computational Intelligence and Neuroscience","Acceptance to publication","-"
"Computational Intelligence and Neuroscience","CiteScore","0.800"
"Computational Intelligence and Neuroscience","Journal Citation Indicator","0.110"
"Computational Intelligence and Neuroscience","Impact Factor","0.6"
"Concepts in Magnetic Resonance Part A, Bridging Education and Research","APC","$1550"
"Concepts in Magnetic Resonance Part A, Bridging Education and Research","Acceptance rate","-"
"Concepts in Magnetic Resonance Part A, Bridging Education and Research","Submission to final decision","-"
"Concepts in Magnetic Resonance Part A, Bridging Education and Research","Acceptance to publication","-"
"Concepts in Magnetic Resonance Part A, Bridging Education and Research","CiteScore","-"
"Concepts in Magnetic Resonance Part A, Bridging Education and Research","Journal Citation Indicator","0.180"
"Concepts in Magnetic Resonance Part A, Bridging Education and Research","Impact Factor","0.9"
"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering","APC","$1550"
"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering","Acceptance rate","26%"
"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering","Submission to final decision","45 days"
"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering","Acceptance to publication","28 days"
"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering","CiteScore","-"
"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering","Journal Citation Indicator","-"
"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering","Impact Factor","-"
"Contrast Media & Molecular Imaging","APC","$1700"
"Contrast Media & Molecular Imaging","Acceptance rate","21%"
"Contrast Media & Molecular Imaging","Submission to final decision","126 days"
"Contrast Media & Molecular Imaging","Acceptance to publication","20 days"
"Contrast Media & Molecular Imaging","CiteScore","2.600"
"Contrast Media & Molecular Imaging","Journal Citation Indicator","0.310"
"Contrast Media & Molecular Imaging","Impact Factor","1.7"
"Critical Care Research and Practice","APC","$950"
"Critical Care Research and Practice","Acceptance rate","-"
"Critical Care Research and Practice","Submission to final decision","-"
"Critical Care Research and Practice","Acceptance to publication","-"
"Critical Care Research and Practice","CiteScore","6.200"
"Critical Care Research and Practice","Journal Citation Indicator","-"
"Critical Care Research and Practice","Impact Factor","-"
"Current Gerontology and Geriatrics Research","APC","$820"
"Current Gerontology and Geriatrics Research","Acceptance rate","-"
"Current Gerontology and Geriatrics Research","Submission to final decision","-"
"Current Gerontology and Geriatrics Research","Acceptance to publication","-"
"Current Gerontology and Geriatrics Research","CiteScore","12.600"
"Current Gerontology and Geriatrics Research","Journal Citation Indicator","1.790"
"Current Gerontology and Geriatrics Research","Impact Factor","7.4"
"Depression and Anxiety","APC","$2370"
"Depression and Anxiety","Acceptance rate","10%"
"Depression and Anxiety","Submission to final decision","75 days"
"Depression and Anxiety","Acceptance to publication","17 days"
"Depression and Anxiety","CiteScore","6.200"
"Depression and Anxiety","Journal Citation Indicator","-"
"Depression and Anxiety","Impact Factor","-"
"Depression Research and Treatment","APC","$820"
"Depression Research and Treatment","Acceptance rate","8%"
"Depression Research and Treatment","Submission to final decision","88 days"
"Depression Research and Treatment","Acceptance to publication","18 days"
"Depression Research and Treatment","CiteScore","4.700"
"Depression Research and Treatment","Journal Citation Indicator","1.000"
"Depression Research and Treatment","Impact Factor","3.6"
"Dermatologic Therapy","APC","$2570"
"Dermatologic Therapy","Acceptance rate","10%"
"Dermatologic Therapy","Submission to final decision","90 days"
"Dermatologic Therapy","Acceptance to publication","15 days"
"Dermatologic Therapy","CiteScore","3.100"
"Dermatologic Therapy","Journal Citation Indicator","0.530"
"Dermatologic Therapy","Impact Factor","1.5"
"Dermatology Research and Practice","APC","$950"
"Dermatology Research and Practice","Acceptance rate","26%"
"Dermatology Research and Practice","Submission to final decision","78 days"
"Dermatology Research and Practice","Acceptance to publication","27 days"
"Dermatology Research and Practice","CiteScore","2.000"
"Dermatology Research and Practice","Journal Citation Indicator","0.410"
"Dermatology Research and Practice","Impact Factor","1.4"
"Discrete Dynamics in Nature and Society","APC","$2450"
"Discrete Dynamics in Nature and Society","Acceptance rate","10%"
"Discrete Dynamics in Nature and Society","Submission to final decision","84 days"
"Discrete Dynamics in Nature and Society","Acceptance to publication","22 days"
"Discrete Dynamics in Nature and Society","CiteScore","3.700"
"Discrete Dynamics in Nature and Society","Journal Citation Indicator","-"
"Discrete Dynamics in Nature and Society","Impact Factor","-"
"Disease Markers","APC","$2550"
"Disease Markers","Acceptance rate","7%"
"Disease Markers","Submission to final decision","97 days"
"Disease Markers","Acceptance to publication","28 days"
"Disease Markers","CiteScore","1.800"
"Disease Markers","Journal Citation Indicator","-"
"Disease Markers","Impact Factor","-"
"Education Research International","APC","$1050"
"Education Research International","Acceptance rate","21%"
"Education Research International","Submission to final decision","51 days"
"Education Research International","Acceptance to publication","28 days"
"Education Research International","CiteScore","0.890"
"Education Research International","Journal Citation Indicator","0.560"
"Education Research International","Impact Factor","1.2"
"Emergency Medicine International","APC","$2060"
"Emergency Medicine International","Acceptance rate","9%"
"Emergency Medicine International","Submission to final decision","80 days"
"Emergency Medicine International","Acceptance to publication","25 days"
"Emergency Medicine International","CiteScore","4.000"
"Emergency Medicine International","Journal Citation Indicator","0.800"
"Emergency Medicine International","Impact Factor","2.1"
"European Journal of Cancer Care","APC","$2370"
"European Journal of Cancer Care","Acceptance rate","16%"
"European Journal of Cancer Care","Submission to final decision","77 days"
"European Journal of Cancer Care","Acceptance to publication","28 days"
"European Journal of Cancer Care","CiteScore","3.500"
"European Journal of Cancer Care","Journal Citation Indicator","-"
"European Journal of Cancer Care","Impact Factor","-"
"Evidence-Based Complementary and Alternative Medicine","APC","$2550"
"Evidence-Based Complementary and Alternative Medicine","Acceptance rate","6%"
"Evidence-Based Complementary and Alternative Medicine","Submission to final decision","105 days"
"Evidence-Based Complementary and Alternative Medicine","Acceptance to publication","22 days"
"Evidence-Based Complementary and Alternative Medicine","CiteScore","3.900"
"Evidence-Based Complementary and Alternative Medicine","Journal Citation Indicator","0.370"
"Evidence-Based Complementary and Alternative Medicine","Impact Factor","2.0"
"Gastroenterology Research and Practice","APC","$2450"
"Gastroenterology Research and Practice","Acceptance rate","20%"
"Gastroenterology Research and Practice","Submission to final decision","104 days"
"Gastroenterology Research and Practice","Acceptance to publication","28 days"
"Gastroenterology Research and Practice","CiteScore","-"
"Gastroenterology Research and Practice","Journal Citation Indicator","-"
"Gastroenterology Research and Practice","Impact Factor","-"
"GastroHep","APC","$800"
"GastroHep","Acceptance rate","11%"
"GastroHep","Submission to final decision","87 days"
"GastroHep","Acceptance to publication","24 days"
"GastroHep","CiteScore","0.100"
"GastroHep","Journal Citation Indicator","0.270"
"GastroHep","Impact Factor","1.5"
"Genetics Research","APC","$2000"
"Genetics Research","Acceptance rate","40%"
"Genetics Research","Submission to final decision","89 days"
"Genetics Research","Acceptance to publication","23 days"
"Genetics Research","CiteScore","2.300"
"Genetics Research","Journal Citation Indicator","0.600"
"Genetics Research","Impact Factor","1.7"
"Geofluids","APC","$2060"
"Geofluids","Acceptance rate","15%"
"Geofluids","Submission to final decision","126 days"
"Geofluids","Acceptance to publication","25 days"
"Geofluids","CiteScore","2.200"
"Geofluids","Journal Citation Indicator","0.360"
"Geofluids","Impact Factor","1.9"
"Global Health, Epidemiology and Genomics","APC","$1400"
"Global Health, Epidemiology and Genomics","Acceptance rate","12%"
"Global Health, Epidemiology and Genomics","Submission to final decision","107 days"
"Global Health, Epidemiology and Genomics","Acceptance to publication","24 days"
"Global Health, Epidemiology and Genomics","CiteScore","3.300"
"Global Health, Epidemiology and Genomics","Journal Citation Indicator","0.770"
"Global Health, Epidemiology and Genomics","Impact Factor","2.4"
"Health & Social Care in the Community","APC","$2570"
"Health & Social Care in the Community","Acceptance rate","-"
"Health & Social Care in the Community","Submission to final decision","-"
"Health & Social Care in the Community","Acceptance to publication","-"
"Health & Social Care in the Community","CiteScore","3.200"
"Health & Social Care in the Community","Journal Citation Indicator","0.210"
"Health & Social Care in the Community","Impact Factor","0.3"
"Heteroatom Chemistry","APC","$1550"
"Heteroatom Chemistry","Acceptance rate","14%"
"Heteroatom Chemistry","Submission to final decision","70 days"
"Heteroatom Chemistry","Acceptance to publication","19 days"
"Heteroatom Chemistry","CiteScore","14.400"
"Heteroatom Chemistry","Journal Citation Indicator","2.700"
"Heteroatom Chemistry","Impact Factor","10.3"
"Human Behavior and Emerging Technologies","APC","$800"
"Human Behavior and Emerging Technologies","Acceptance rate","10%"
"Human Behavior and Emerging Technologies","Submission to final decision","96 days"
"Human Behavior and Emerging Technologies","Acceptance to publication","21 days"
"Human Behavior and Emerging Technologies","CiteScore","7.900"
"Human Behavior and Emerging Technologies","Journal Citation Indicator","0.980"
"Human Behavior and Emerging Technologies","Impact Factor","3.9"
"Human Mutation","APC","$2370"
"Human Mutation","Acceptance rate","-"
"Human Mutation","Submission to final decision","-"
"Human Mutation","Acceptance to publication","-"
"Human Mutation","CiteScore","5.700"
"Human Mutation","Journal Citation Indicator","0.380"
"Human Mutation","Impact Factor","2.0"
"IET Biometrics","APC","$2000"
"IET Biometrics","Acceptance rate","-"
"IET Biometrics","Submission to final decision","-"
"IET Biometrics","Acceptance to publication","-"
"IET Biometrics","CiteScore","3.600"
"IET Biometrics","Journal Citation Indicator","0.310"
"IET Biometrics","Impact Factor","1.3"
"IET Circuits, Devices & Systems","APC","$2375"
"IET Circuits, Devices & Systems","Acceptance rate","-"
"IET Circuits, Devices & Systems","Submission to final decision","-"
"IET Circuits, Devices & Systems","Acceptance to publication","-"
"IET Circuits, Devices & Systems","CiteScore","2.700"
"IET Circuits, Devices & Systems","Journal Citation Indicator","0.220"
"IET Circuits, Devices & Systems","Impact Factor","1.2"
"IET Computers & Digital Techniques","APC","$2000"
"IET Computers & Digital Techniques","Acceptance rate","-"
"IET Computers & Digital Techniques","Submission to final decision","-"
"IET Computers & Digital Techniques","Acceptance to publication","-"
"IET Computers & Digital Techniques","CiteScore","5.700"
"IET Computers & Digital Techniques","Journal Citation Indicator","0.530"
"IET Computers & Digital Techniques","Impact Factor","2.3"
"IET Electrical Systems in Transportation","APC","$2000"
"IET Electrical Systems in Transportation","Acceptance rate","-"
"IET Electrical Systems in Transportation","Submission to final decision","-"
"IET Electrical Systems in Transportation","Acceptance to publication","-"
"IET Electrical Systems in Transportation","CiteScore","4.000"
"IET Electrical Systems in Transportation","Journal Citation Indicator","0.370"
"IET Electrical Systems in Transportation","Impact Factor","1.4"
"IET Information Security","APC","$2375"
"IET Information Security","Acceptance rate","-"
"IET Information Security","Submission to final decision","-"
"IET Information Security","Acceptance to publication","-"
"IET Information Security","CiteScore","5.000"
"IET Information Security","Journal Citation Indicator","0.350"
"IET Information Security","Impact Factor","2.3"
"IET Nanobiotechnology","APC","$2375"
"IET Nanobiotechnology","Acceptance rate","-"
"IET Nanobiotechnology","Submission to final decision","-"
"IET Nanobiotechnology","Acceptance to publication","-"
"IET Nanobiotechnology","CiteScore","3.700"
"IET Nanobiotechnology","Journal Citation Indicator","0.370"
"IET Nanobiotechnology","Impact Factor","1.7"
"IET Signal Processing","APC","$2375"
"IET Signal Processing","Acceptance rate","-"
"IET Signal Processing","Submission to final decision","-"
"IET Signal Processing","Acceptance to publication","-"
"IET Signal Processing","CiteScore","3.800"
"IET Signal Processing","Journal Citation Indicator","0.350"
"IET Signal Processing","Impact Factor","1.6"
"IET Software","APC","$2000"
"IET Software","Acceptance rate","19%"
"IET Software","Submission to final decision","72 days"
"IET Software","Acceptance to publication","19 days"
"IET Software","CiteScore","8.000"
"IET Software","Journal Citation Indicator","0.990"
"IET Software","Impact Factor","5.8"
"Indoor Air","APC","$2370"
"Indoor Air","Acceptance rate","-"
"Indoor Air","Submission to final decision","-"
"Indoor Air","Acceptance to publication","-"
"Indoor Air","CiteScore","3.400"
"Indoor Air","Journal Citation Indicator","-"
"Indoor Air","Impact Factor","-"
"Infectious Diseases in Obstetrics and Gynecology","APC","$820"
"Infectious Diseases in Obstetrics and Gynecology","Acceptance rate","17%"
"Infectious Diseases in Obstetrics and Gynecology","Submission to final decision","89 days"
"Infectious Diseases in Obstetrics and Gynecology","Acceptance to publication","17 days"
"Infectious Diseases in Obstetrics and Gynecology","CiteScore","3.100"
"Infectious Diseases in Obstetrics and Gynecology","Journal Citation Indicator","-"
"Infectious Diseases in Obstetrics and Gynecology","Impact Factor","-"
"Interdisciplinary Perspectives on Infectious Diseases","APC","$820"
"Interdisciplinary Perspectives on Infectious Diseases","Acceptance rate","36%"
"Interdisciplinary Perspectives on Infectious Diseases","Submission to final decision","80 days"
"Interdisciplinary Perspectives on Infectious Diseases","Acceptance to publication","20 days"
"Interdisciplinary Perspectives on Infectious Diseases","CiteScore","2.500"
"Interdisciplinary Perspectives on Infectious Diseases","Journal Citation Indicator","0.440"
"Interdisciplinary Perspectives on Infectious Diseases","Impact Factor","1.4"
"International Journal of Aerospace Engineering","APC","$2450"
"International Journal of Aerospace Engineering","Acceptance rate","12%"
"International Journal of Aerospace Engineering","Submission to final decision","135 days"
"International Journal of Aerospace Engineering","Acceptance to publication","18 days"
"International Journal of Aerospace Engineering","CiteScore","3.400"
"International Journal of Aerospace Engineering","Journal Citation Indicator","0.540"
"International Journal of Aerospace Engineering","Impact Factor","1.9"
"International Journal of Agronomy","APC","$950"
"International Journal of Agronomy","Acceptance rate","-"
"International Journal of Agronomy","Submission to final decision","-"
"International Journal of Agronomy","Acceptance to publication","-"
"International Journal of Agronomy","CiteScore","8.800"
"International Journal of Agronomy","Journal Citation Indicator","-"
"International Journal of Agronomy","Impact Factor","-"
"International Journal of Alzheimer’s Disease","APC","$820"
"International Journal of Alzheimer’s Disease","Acceptance rate","31%"
"International Journal of Alzheimer’s Disease","Submission to final decision","72 days"
"International Journal of Alzheimer’s Disease","Acceptance to publication","20 days"
"International Journal of Alzheimer’s Disease","CiteScore","2.300"
"International Journal of Alzheimer’s Disease","Journal Citation Indicator","0.380"
"International Journal of Alzheimer’s Disease","Impact Factor","1.8"
"International Journal of Analytical Chemistry","APC","$1550"
"International Journal of Analytical Chemistry","Acceptance rate","29%"
"International Journal of Analytical Chemistry","Submission to final decision","70 days"
"International Journal of Analytical Chemistry","Acceptance to publication","19 days"
"International Journal of Analytical Chemistry","CiteScore","2.900"
"International Journal of Analytical Chemistry","Journal Citation Indicator","0.300"
"International Journal of Analytical Chemistry","Impact Factor","1.5"
"International Journal of Antennas and Propagation","APC","$2450"
"International Journal of Antennas and Propagation","Acceptance rate","29%"
"International Journal of Antennas and Propagation","Submission to final decision","93 days"
"International Journal of Antennas and Propagation","Acceptance to publication","22 days"
"International Journal of Antennas and Propagation","CiteScore","4.400"
"International Journal of Antennas and Propagation","Journal Citation Indicator","0.400"
"International Journal of Antennas and Propagation","Impact Factor","3.1"
"International Journal of Biomaterials","APC","$950"
"International Journal of Biomaterials","Acceptance rate","-"
"International Journal of Biomaterials","Submission to final decision","-"
"International Journal of Biomaterials","Acceptance to publication","-"
"International Journal of Biomaterials","CiteScore","10.200"
"International Journal of Biomaterials","Journal Citation Indicator","1.310"
"International Journal of Biomaterials","Impact Factor","7.6"
"International Journal of Biomedical Imaging","APC","$950"
"International Journal of Biomedical Imaging","Acceptance rate","17%"
"International Journal of Biomedical Imaging","Submission to final decision","108 days"
"International Journal of Biomedical Imaging","Acceptance to publication","22 days"
"International Journal of Biomedical Imaging","CiteScore","2.400"
"International Journal of Biomedical Imaging","Journal Citation Indicator","0.330"
"International Journal of Biomedical Imaging","Impact Factor","1.9"
"International Journal of Breast Cancer","APC","$950"
"International Journal of Breast Cancer","Acceptance rate","-"
"International Journal of Breast Cancer","Submission to final decision","-"
"International Journal of Breast Cancer","Acceptance to publication","-"
"International Journal of Breast Cancer","CiteScore","4.200"
"International Journal of Breast Cancer","Journal Citation Indicator","-"
"International Journal of Breast Cancer","Impact Factor","-"
"International Journal of Cell Biology","APC","$820"
"International Journal of Cell Biology","Acceptance rate","25%"
"International Journal of Cell Biology","Submission to final decision","84 days"
"International Journal of Cell Biology","Acceptance to publication","21 days"
"International Journal of Cell Biology","CiteScore","3.500"
"International Journal of Cell Biology","Journal Citation Indicator","0.370"
"International Journal of Cell Biology","Impact Factor","2.7"
"International Journal of Chemical Engineering","APC","$1550"
"International Journal of Chemical Engineering","Acceptance rate","-"
"International Journal of Chemical Engineering","Submission to final decision","-"
"International Journal of Chemical Engineering","Acceptance to publication","-"
"International Journal of Chemical Engineering","CiteScore","3.400"
"International Journal of Chemical Engineering","Journal Citation Indicator","-"
"International Journal of Chemical Engineering","Impact Factor","-"
"International Journal of Chronic Diseases","APC","$820"
"International Journal of Chronic Diseases","Acceptance rate","10%"
"International Journal of Chronic Diseases","Submission to final decision","87 days"
"International Journal of Chronic Diseases","Acceptance to publication","20 days"
"International Journal of Chronic Diseases","CiteScore","3.500"
"International Journal of Chronic Diseases","Journal Citation Indicator","0.700"
"International Journal of Chronic Diseases","Impact Factor","2.6"
"International Journal of Clinical Practice","APC","$2240"
"International Journal of Clinical Practice","Acceptance rate","-"
"International Journal of Clinical Practice","Submission to final decision","-"
"International Journal of Clinical Practice","Acceptance to publication","-"
"International Journal of Clinical Practice","CiteScore","9.500"
"International Journal of Clinical Practice","Journal Citation Indicator","0.840"
"International Journal of Clinical Practice","Impact Factor","2.5"
"International Journal of Computer Games Technology","APC","$950"
"International Journal of Computer Games Technology","Acceptance rate","-"
"International Journal of Computer Games Technology","Submission to final decision","-"
"International Journal of Computer Games Technology","Acceptance to publication","-"
"International Journal of Computer Games Technology","CiteScore","4.800"
"International Journal of Computer Games Technology","Journal Citation Indicator","0.390"
"International Journal of Computer Games Technology","Impact Factor","3.1"
"International Journal of Corrosion","APC","$950"
"International Journal of Corrosion","Acceptance rate","20%"
"International Journal of Corrosion","Submission to final decision","99 days"
"International Journal of Corrosion","Acceptance to publication","19 days"
"International Journal of Corrosion","CiteScore","2.600"
"International Journal of Corrosion","Journal Citation Indicator","0.790"
"International Journal of Corrosion","Impact Factor","2.1"
"International Journal of Dentistry","APC","$1490"
"International Journal of Dentistry","Acceptance rate","18%"
"International Journal of Dentistry","Submission to final decision","85 days"
"International Journal of Dentistry","Acceptance to publication","22 days"
"International Journal of Dentistry","CiteScore","2.600"
"International Journal of Dentistry","Journal Citation Indicator","0.660"
"International Journal of Dentistry","Impact Factor","1.6"
"International Journal of Differential Equations","APC","$1080"
"International Journal of Differential Equations","Acceptance rate","-"
"International Journal of Differential Equations","Submission to final decision","-"
"International Journal of Differential Equations","Acceptance to publication","-"
"International Journal of Differential Equations","CiteScore","1.800"
"International Journal of Differential Equations","Journal Citation Indicator","0.260"
"International Journal of Differential Equations","Impact Factor","1.9"
"International Journal of Digital Multimedia Broadcasting","APC","$950"
"International Journal of Digital Multimedia Broadcasting","Acceptance rate","9%"
"International Journal of Digital Multimedia Broadcasting","Submission to final decision","67 days"
"International Journal of Digital Multimedia Broadcasting","Acceptance to publication","19 days"
"International Journal of Digital Multimedia Broadcasting","CiteScore","6.000"
"International Journal of Digital Multimedia Broadcasting","Journal Citation Indicator","0.480"
"International Journal of Digital Multimedia Broadcasting","Impact Factor","2.3"
"International Journal of Distributed Sensor Networks","APC","$2550"
"International Journal of Distributed Sensor Networks","Acceptance rate","10%"
"International Journal of Distributed Sensor Networks","Submission to final decision","126 days"
"International Journal of Distributed Sensor Networks","Acceptance to publication","20 days"
"International Journal of Distributed Sensor Networks","CiteScore","2.400"
"International Journal of Distributed Sensor Networks","Journal Citation Indicator","-"
"International Journal of Distributed Sensor Networks","Impact Factor","-"
"International Journal of Ecology","APC","$820"
"International Journal of Ecology","Acceptance rate","-"
"International Journal of Ecology","Submission to final decision","-"
"International Journal of Ecology","Acceptance to publication","-"
"International Journal of Ecology","CiteScore","-"
"International Journal of Ecology","Journal Citation Indicator","0.280"
"International Journal of Ecology","Impact Factor","1.8"
"International Journal of Electrochemistry","APC","$950"
"International Journal of Electrochemistry","Acceptance rate","14%"
"International Journal of Electrochemistry","Submission to final decision","103 days"
"International Journal of Electrochemistry","Acceptance to publication","19 days"
"International Journal of Electrochemistry","CiteScore","4.500"
"International Journal of Electrochemistry","Journal Citation Indicator","0.540"
"International Journal of Electrochemistry","Impact Factor","2.8"
"International Journal of Endocrinology","APC","$2450"
"International Journal of Endocrinology","Acceptance rate","23%"
"International Journal of Endocrinology","Submission to final decision","63 days"
"International Journal of Endocrinology","Acceptance to publication","31 days"
"International Journal of Endocrinology","CiteScore","7.200"
"International Journal of Endocrinology","Journal Citation Indicator","1.280"
"International Journal of Endocrinology","Impact Factor","4.6"
"International Journal of Energy Research","APC","$2570"
"International Journal of Energy Research","Acceptance rate","14%"
"International Journal of Energy Research","Submission to final decision","110 days"
"International Journal of Energy Research","Acceptance to publication","20 days"
"International Journal of Energy Research","CiteScore","5.200"
"International Journal of Energy Research","Journal Citation Indicator","0.580"
"International Journal of Energy Research","Impact Factor","4.0"
"International Journal of Food Science","APC","$820"
"International Journal of Food Science","Acceptance rate","25%"
"International Journal of Food Science","Submission to final decision","144 days"
"International Journal of Food Science","Acceptance to publication","19 days"
"International Journal of Food Science","CiteScore","1.800"
"International Journal of Food Science","Journal Citation Indicator","-"
"International Journal of Food Science","Impact Factor","-"
"International Journal of Forestry Research","APC","$820"
"International Journal of Forestry Research","Acceptance rate","7%"
"International Journal of Forestry Research","Submission to final decision","109 days"
"International Journal of Forestry Research","Acceptance to publication","20 days"
"International Journal of Forestry Research","CiteScore","5.500"
"International Journal of Forestry Research","Journal Citation Indicator","0.570"
"International Journal of Forestry Research","Impact Factor","2.9"
"International Journal of Genomics","APC","$2060"
"International Journal of Genomics","Acceptance rate","11%"
"International Journal of Genomics","Submission to final decision","63 days"
"International Journal of Genomics","Acceptance to publication","17 days"
"International Journal of Genomics","CiteScore","3.800"
"International Journal of Genomics","Journal Citation Indicator","0.350"
"International Journal of Genomics","Impact Factor","1.1"
"International Journal of Geophysics","APC","$950"
"International Journal of Geophysics","Acceptance rate","22%"
"International Journal of Geophysics","Submission to final decision","112 days"
"International Journal of Geophysics","Acceptance to publication","20 days"
"International Journal of Geophysics","CiteScore","3.400"
"International Journal of Geophysics","Journal Citation Indicator","0.480"
"International Journal of Geophysics","Impact Factor","1.8"
"International Journal of Hepatology","APC","$950"
"International Journal of Hepatology","Acceptance rate","10%"
"International Journal of Hepatology","Submission to final decision","109 days"
"International Journal of Hepatology","Acceptance to publication","22 days"
"International Journal of Hepatology","CiteScore","3.600"
"International Journal of Hepatology","Journal Citation Indicator","0.410"
"International Journal of Hepatology","Impact Factor","1.9"
"International Journal of Hypertension","APC","$1550"
"International Journal of Hypertension","Acceptance rate","15%"
"International Journal of Hypertension","Submission to final decision","74 days"
"International Journal of Hypertension","Acceptance to publication","15 days"
"International Journal of Hypertension","CiteScore","7.800"
"International Journal of Hypertension","Journal Citation Indicator","0.530"
"International Journal of Hypertension","Impact Factor","2.0"
"International Journal of Inflammation","APC","$950"
"International Journal of Inflammation","Acceptance rate","12%"
"International Journal of Inflammation","Submission to final decision","75 days"
"International Journal of Inflammation","Acceptance to publication","26 days"
"International Journal of Inflammation","CiteScore","9.800"
"International Journal of Inflammation","Journal Citation Indicator","1.870"
"International Journal of Inflammation","Impact Factor","7.0"
"International Journal of Intelligent Systems","APC","$2570"
"International Journal of Intelligent Systems","Acceptance rate","14%"
"International Journal of Intelligent Systems","Submission to final decision","63 days"
"International Journal of Intelligent Systems","Acceptance to publication","31 days"
"International Journal of Intelligent Systems","CiteScore","1.700"
"International Journal of Intelligent Systems","Journal Citation Indicator","0.520"
"International Journal of Intelligent Systems","Impact Factor","1.2"
"International Journal of Mathematics and Mathematical Sciences","APC","$1080"
"International Journal of Mathematics and Mathematical Sciences","Acceptance rate","13%"
"International Journal of Mathematics and Mathematical Sciences","Submission to final decision","107 days"
"International Journal of Mathematics and Mathematical Sciences","Acceptance to publication","15 days"
"International Journal of Mathematics and Mathematical Sciences","CiteScore","6.500"
"International Journal of Mathematics and Mathematical Sciences","Journal Citation Indicator","0.570"
"International Journal of Mathematics and Mathematical Sciences","Impact Factor","3.4"
"International Journal of Microbiology","APC","$950"
"International Journal of Microbiology","Acceptance rate","14%"
"International Journal of Microbiology","Submission to final decision","87 days"
"International Journal of Microbiology","Acceptance to publication","20 days"
"International Journal of Microbiology","CiteScore","2.500"
"International Journal of Microbiology","Journal Citation Indicator","0.550"
"International Journal of Microbiology","Impact Factor","2.1"
"International Journal of Nephrology","APC","$950"
"International Journal of Nephrology","Acceptance rate","26%"
"International Journal of Nephrology","Submission to final decision","108 days"
"International Journal of Nephrology","Acceptance to publication","25 days"
"International Journal of Nephrology","CiteScore","2.400"
"International Journal of Nephrology","Journal Citation Indicator","0.350"
"International Journal of Nephrology","Impact Factor","1.7"
"International Journal of Optics","APC","$1550"
"International Journal of Otolaryngology","APC","$820"
"International Journal of Otolaryngology","Acceptance rate","8%"
"International Journal of Otolaryngology","Submission to final decision","92 days"
"International Journal of Otolaryngology","Acceptance to publication","18 days"
"International Journal of Otolaryngology","CiteScore","-"
"International Journal of Otolaryngology","Journal Citation Indicator","0.710"
"International Journal of Otolaryngology","Impact Factor","2.1"
"International Journal of Pediatrics","APC","$950"
"International Journal of Pediatrics","Acceptance rate","29%"
"International Journal of Pediatrics","Submission to final decision","112 days"
"International Journal of Pediatrics","Acceptance to publication","23 days"
"International Journal of Pediatrics","CiteScore","4.800"
"International Journal of Pediatrics","Journal Citation Indicator","0.560"
"International Journal of Pediatrics","Impact Factor","3.2"
"International Journal of Photoenergy","APC","$2060"
"International Journal of Photoenergy","Acceptance rate","30%"
"International Journal of Photoenergy","Submission to final decision","74 days"
"International Journal of Photoenergy","Acceptance to publication","27 days"
"International Journal of Photoenergy","CiteScore","5.500"
"International Journal of Photoenergy","Journal Citation Indicator","0.510"
"International Journal of Photoenergy","Impact Factor","3.3"
"International Journal of Polymer Science","APC","$2060"
"International Journal of Polymer Science","Acceptance rate","-"
"International Journal of Polymer Science","Submission to final decision","-"
"International Journal of Polymer Science","Acceptance to publication","-"
"International Journal of Polymer Science","CiteScore","6.100"
"International Journal of Polymer Science","Journal Citation Indicator","0.430"
"International Journal of Polymer Science","Impact Factor","4.3"
"International Journal of Reconfigurable Computing","APC","$950"
"International Journal of Reconfigurable Computing","Acceptance rate","18%"
"International Journal of Reconfigurable Computing","Submission to final decision","141 days"
"International Journal of Reconfigurable Computing","Acceptance to publication","16 days"
"International Journal of Reconfigurable Computing","CiteScore","-"
